CLOCK
# Station ID    Delay (usec)    [Rate (sec/sec)]
Ax	  	0.405
Gl		-0.674
Kt		-0.031488
Mm		0.513085
Mg		0.713278
Nn		13.245
Pv		0.5475
Sz		0.546
