CLOCK
# Station ID    Delay (usec)    [Rate (sec/sec)]
Ax	  	0.399 		0.604e-12
Gl		-0.674		-0.252e-12
Kt              -0.041488	
Mm              0.513085	-0.263e-12
Mg              0.499278	-0.566e-12
Nn		12.832		5.62e-15
Pv		0.5475		-1.0658e-13
Sz		0.571		-0.3e-12
